ID Posla;Vrsta najemnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena najemnina;Vključenost obratovalnih stroškov v najemnino;Vključenost DDV;Stopnja DDV;Datum začetka najema;Datum prenehanja najema;Čas najema;Trajanje najema;Datum zaključka najema /Datum predčasne prekinitve najema;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
416594;1;18.02.2019;01.02.2019;1162,87;1;0;;01.02.2019;;2;;;;0;30.07.2019;18.02.2019;1;4
416597;1;18.02.2019;31.01.2019;310;0;0;;01.02.2019;31.01.2020;1;12;31.01.2020;;0;20.02.2021;18.02.2019;2;4
416599;4;18.02.2019;01.02.2019;162,24;0;0;;01.02.2019;;2;;;;0;30.07.2019;18.02.2019;1;4
416607;4;18.02.2019;01.02.2019;103,55;0;0;;01.02.2019;;2;;;;0;30.07.2019;18.02.2019;1;4
416649;1;20.02.2019;04.12.2018;2440;1;1;4;04.12.2018;04.05.2019;1;5;04.05.2019;;0;10.01.2020;20.02.2019;1;4
416674;1;20.02.2019;06.11.2018;286;0;0;;01.01.2019;31.12.2019;1;12;31.12.2019;prej 260/mes.;0;01.01.2020;20.02.2019;2;4
416725;1;21.02.2019;31.01.2017;1162;1;1;4;01.02.2017;31.01.2022;1;60;31.08.2019;Razlog predcasnega zakljucka : ODPOVED NAJEMNE POGODBE;;27.09.2019;21.02.2019;1;4
416739;5;21.02.2019;01.02.2019;181,13;1;0;;01.02.2019;;2;;09.05.2019;Razlog predčasnega zaključka : odpoved dana sstrani najemnika, podvojen posel!!!;;30.07.2019;21.02.2019;1;4
416766;1;21.02.2019;27.12.2018;50;1;0;;01.01.2019;30.06.2019;1;6;30.06.2019;;0;30.07.2019;21.02.2019;2;4
416778;1;22.02.2019;31.01.2019;1204,91;1;1;4;01.02.2019;31.12.2019;1;11;31.12.2019;;0;23.10.2020;22.02.2019;2;4
416784;1;22.02.2019;31.01.2019;265,59;1;0;;01.02.2019;31.12.2019;1;11;31.12.2019;;0;23.10.2020;22.02.2019;1;4
416860;1;25.02.2019;01.12.2012;34,11;0;0;;01.12.2012;;2;;;;0;25.02.2019;25.02.2019;1;4
416889;1;26.02.2019;23.01.2019;50;0;0;;01.02.2019;01.02.2020;1;12;01.02.2020;;0;02.02.2020;26.02.2019;2;4
416896;1;26.02.2019;16.01.2019;1122,4;1;1;4;16.01.2019;31.12.2024;1;72;;V najemnini so zajeti vsi stroški, razen električne energije in zavarovanja najemojemalčeve opreme in zalog.;0;26.02.2019;26.02.2019;1;5
